,0
course_number,object
course_name,object
type,object
kind,object
lecturer,object
semester,object
ects,object
max_students,int64
registered_students,int64
no_dates_total,float64
instute,object
email,object
level,object
study_area,object
university,object
curriculum,object
assessment_criteria,object
teaching_methods,object
language,object
other_information,object
study_subject,object
room_id,int64
