datetime,occrate,occcount,occcountdiff,occratediff,cancelled,lecturerampafter,test,lecturerampbefore,maxocccountestimate,ects,tutorium,maxoccrate,maxoccrateestimate,registered,maxocccount,coursenumber,lecture,exam,VL,UE,KS,Informatik,None_sa,Volkswirtschaftslehre,Chemie,Wirtschaftsinformatik,Maschinenbau,Betriebswirtschaftslehre,Rechtswissenschaften,Mathematik,Mechatronik,Informationselektronik,Biologische Chemie,Sozialwissenschaften,Artificial Intelligence,Kunststofftechnik,Statistik,Pädagogik,Medical Engineering,B1 - Bachelor 1. Jahr,None_level,B2 - Bachelor 2. Jahr,M1 - Master 1. Jahr,B3 - Bachelor 3. Jahr,D - Diplom,M2 - Master 2. Jahr,hod1,hod2,dow1,dow2,week1,week2,holiday,zwickltag,occrate1week,occcount1day,occrate1day,occcount1week,occcountdiff1week,occcountdiff1day,occratediff1week,occratediff1day,tl,p,ff,ffx,rf,rr,so
2024-06-12 12:15:00,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46729843538492855,0.0010705383806982605,0.9874639560909118,0.38873953302184283,0.6196578321437789,0.014529091286973994,0,0,0.09868421052631579,18.0,0.11842105263157894,15.0,2.0,1.0,0.013157894736842105,0.006578947368421045,15.2,987.7,1.4,4.0,59,0.0,14
2024-06-12 12:30:00,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4347369038899741,0.004277569313094809,0.9874639560909118,0.38873953302184283,0.6196578321437789,0.014529091286973994,0,0,0.10526315789473684,17.0,0.1118421052631579,16.0,1.0,-1.0,0.006578947368421045,-0.006578947368421045,16.0,987.5,1.6,4.1,58,0.0,384
2024-06-12 12:45:00,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4024548389919358,0.009607359798384785,0.9874639560909118,0.38873953302184283,0.6196578321437789,0.014529091286973994,0,0,0.09868421052631579,17.0,0.1118421052631579,15.0,-1.0,0.0,-0.006578947368421045,0.0,15.8,987.5,0.5,4.4,56,0.0,420
2024-06-12 13:00:00,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37059047744873985,0.01703708685546579,0.9874639560909118,0.38873953302184283,0.6196578321437789,0.014529091286973994,0,0,0.09868421052631579,17.0,0.1118421052631579,15.0,0.0,0.0,0.0,0.0,15.9,987.3,2.0,3.8,58,0.0,20
2024-06-12 13:15:00,0.006578947368421052,1,1.0,0.006578947368421052,0,0,0,0,0,0.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3392802673484192,0.026534935252447156,0.9874639560909118,0.38873953302184283,0.6196578321437789,0.014529091286973994,0,0,0.07236842105263158,16.0,0.10526315789473684,11.0,-4.0,-1.0,-0.02631578947368421,-0.006578947368421059,16.1,987.3,1.5,3.6,55,0.0,102
2024-06-12 13:30:00,0.0,0,-1.0,-0.006578947368421052,0,0,0,0,0,0.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3086582838174552,0.038060233744356575,0.9874639560909118,0.38873953302184283,0.6196578321437789,0.014529091286973994,0,0,0.09868421052631579,16.0,0.10526315789473684,15.0,4.0,0.0,0.02631578947368421,0.0,16.6,987.0,1.0,4.9,56,0.0,600
2024-06-12 13:45:00,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27885565489049946,0.05156362923365582,0.9874639560909118,0.38873953302184283,0.6196578321437789,0.014529091286973994,0,0,0.11842105263157894,20.0,0.13157894736842105,18.0,3.0,4.0,0.01973684210526315,0.02631578947368421,16.9,986.9,1.4,5.3,52,0.0,600
2024-06-12 14:00:00,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24999999999999994,0.0669872981077807,0.9874639560909118,0.38873953302184283,0.6196578321437789,0.014529091286973994,0,0,0.11842105263157894,20.0,0.13157894736842105,18.0,0.0,0.0,0.0,0.0,17.1,986.8,0.5,4.0,52,0.0,542
2024-06-12 14:15:00,0.03289473684210526,5,5.0,0.03289473684210526,0,0,0,0,0,0.0,0,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22221488349019902,0.08426519384872727,0.9874639560909118,0.38873953302184283,0.6196578321437789,0.014529091286973994,0,0,0.1118421052631579,20.0,0.13157894736842105,17.0,-1.0,0.0,-0.006578947368421045,0.0,17.4,986.7,1.3,4.3,52,0.0,600
2024-06-12 14:30:00,0.13157894736842105,20,15.0,0.09868421052631579,0,0,0,0,0,1.5,0,0.16447368421052633,0.16467682781972384,46,25,365.232,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.19561928549563984,0.1033233298543823,0.9874639560909118,0.38873953302184283,0.6196578321437789,0.014529091286973994,0,0,0.1118421052631579,20.0,0.13157894736842105,17.0,0.0,0.0,0.0,0.0,16.9,986.6,1.2,4.1,51,0.0,206
2024-06-12 14:45:00,0.15789473684210525,24,4.0,0.02631578947368421,0,0,0,0,0,1.5,0,0.16447368421052633,0.16467682781972384,46,25,365.232,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.17032709244996558,0.12408009626051125,0.9874639560909118,0.38873953302184283,0.6196578321437789,0.014529091286973994,0,0,0.14473684210526316,20.0,0.13157894736842105,22.0,5.0,0.0,0.03289473684210527,0.0,16.9,986.5,1.3,4.1,52,0.0,24
2024-06-12 15:00:00,0.16447368421052633,25,1.0,0.006578947368421073,0,0,0,0,0,1.5,0,0.16447368421052633,0.16467682781972384,46,25,365.232,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.14644660940672627,0.14644660940672616,0.9874639560909118,0.38873953302184283,0.6196578321437789,0.014529091286973994,0,0,0.1513157894736842,19.0,0.125,23.0,1.0,-1.0,0.006578947368421045,-0.006578947368421045,17.3,986.5,1.4,3.4,51,0.0,594
