in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type,datetime
15,0,43,39,1,0,1,2024-04-08 11:37:13
16,0,32,22,1,0,1,2024-04-08 11:37:15
0,27,33,45,1,0,0,2024-04-08 11:41:16
0,33,116,124,1,0,0,2024-04-08 11:43:52
11,0,74,73,0,0,1,2024-04-08 11:44:16
13,0,33,32,0,0,1,2024-04-08 11:44:36
15,0,48,51,1,0,1,2024-04-08 11:49:47
7,0,36,37,1,0,1,2024-04-08 11:49:49
15,0,53,48,1,0,1,2024-04-08 11:49:50
5,0,44,44,0,0,1,2024-04-08 11:50:08
15,0,44,52,0,0,1,2024-04-08 11:50:09
11,0,30,28,0,0,1,2024-04-08 11:50:10
32,0,134,141,1,0,1,2024-04-08 11:50:10
13,0,47,38,0,0,1,2024-04-08 11:50:12
20,0,40,42,0,0,1,2024-04-08 11:50:13
22,0,89,79,0,0,1,2024-04-08 11:50:16
10,0,39,36,0,0,1,2024-04-08 11:50:44
19,0,44,31,0,0,1,2024-04-08 11:50:46
20,0,59,65,0,0,1,2024-04-08 11:50:58
7,0,111,147,0,0,1,2024-04-08 11:51:16
0,22,70,74,0,0,0,2024-04-08 11:51:40
0,23,75,76,0,0,0,2024-04-08 11:52:04
16,0,50,46,0,0,1,2024-04-08 11:52:25
0,1,71,70,0,0,0,2024-04-08 11:52:43
10,0,85,80,1,0,1,2024-04-08 11:52:45
6,0,54,51,1,0,1,2024-04-08 11:52:47
0,10,43,36,1,0,0,2024-04-08 11:52:53
0,16,44,45,1,0,0,2024-04-08 11:53:23
19,0,45,38,1,0,1,2024-04-08 11:53:36
9,0,44,40,0,0,1,2024-04-08 11:54:12
28,0,54,69,0,0,1,2024-04-08 11:54:16
0,0,135,145,0,0,1,2024-04-08 11:54:18
12,0,25,25,0,0,1,2024-04-08 11:54:30
0,7,24,29,0,0,0,2024-04-08 11:54:31
7,0,155,197,0,0,1,2024-04-08 11:54:34
16,0,33,36,1,0,1,2024-04-08 11:54:37
13,0,61,60,0,0,1,2024-04-08 11:54:49
6,0,27,35,0,0,1,2024-04-08 11:55:00
12,1,56,107,1,0,1,2024-04-08 11:55:21
18,0,60,45,0,0,1,2024-04-08 11:55:22
20,0,72,70,1,0,1,2024-04-08 11:55:41
41,0,67,31,1,0,1,2024-04-08 11:55:42
7,0,33,35,0,0,1,2024-04-08 11:55:47
30,0,106,89,0,0,1,2024-04-08 11:55:49
20,0,101,93,0,0,1,2024-04-08 11:55:51
14,0,29,21,1,0,1,2024-04-08 11:55:52
44,0,60,50,0,0,1,2024-04-08 11:55:53
18,0,50,122,0,0,1,2024-04-08 11:55:55
3,0,40,48,0,0,1,2024-04-08 11:56:02
16,0,87,77,0,0,1,2024-04-08 11:56:04
46,0,152,172,0,0,1,2024-04-08 11:56:08
0,0,37,41,0,0,1,2024-04-08 11:56:15
7,0,38,37,1,0,1,2024-04-08 11:56:32
14,0,65,73,1,0,1,2024-04-08 11:56:36
16,0,123,144,0,0,1,2024-04-08 11:56:37
9,0,33,33,0,0,1,2024-04-08 11:56:45
3,0,63,67,0,0,1,2024-04-08 11:56:46
0,26,51,62,0,0,0,2024-04-08 11:56:52
10,0,49,43,0,0,1,2024-04-08 11:57:04
21,0,96,125,0,0,1,2024-04-08 11:57:07
17,0,55,42,1,0,1,2024-04-08 11:57:09
18,0,46,37,1,0,1,2024-04-08 11:57:22
5,0,28,30,0,0,1,2024-04-08 11:57:35
11,0,36,37,0,0,1,2024-04-08 11:57:37
0,59,76,122,0,0,0,2024-04-08 11:58:18
44,0,58,37,0,0,1,2024-04-08 11:58:21
17,0,32,24,1,0,1,2024-04-08 11:58:22
10,0,34,32,0,0,1,2024-04-08 11:58:22
15,0,67,23,1,0,1,2024-04-08 11:58:24
0,21,57,68,1,0,0,2024-04-08 11:58:41
9,0,77,76,0,0,1,2024-04-08 11:58:42
28,0,74,55,1,0,1,2024-04-08 11:58:43
15,0,56,47,0,0,1,2024-04-08 11:58:47
13,0,49,35,0,0,1,2024-04-08 11:58:48
8,0,50,47,0,0,1,2024-04-08 11:58:50
20,0,38,35,1,0,1,2024-04-08 11:58:52
27,0,45,44,0,0,1,2024-04-08 11:58:55
21,0,75,63,0,0,1,2024-04-08 11:58:57
0,24,31,41,1,0,0,2024-04-08 11:59:15
20,0,98,81,0,0,1,2024-04-08 11:59:30
8,0,62,63,0,0,1,2024-04-08 11:59:32
67,0,69,46,0,0,1,2024-04-08 11:59:34
28,0,76,62,0,0,1,2024-04-08 11:59:36
9,0,29,27,1,0,1,2024-04-08 11:59:39
16,0,31,24,0,0,1,2024-04-08 11:59:58
9,0,40,39,0,0,1,2024-04-08 11:59:59
0,0,198,154,0,0,1,2024-04-08 12:00:04
26,0,94,86,0,0,1,2024-04-08 12:00:05
42,0,102,64,0,0,1,2024-04-08 12:00:07
46,0,93,67,0,0,1,2024-04-08 12:00:12
27,0,117,155,0,0,1,2024-04-08 12:02:00
0,11,55,58,0,0,0,2024-04-08 12:02:31
21,0,73,75,1,0,1,2024-04-08 12:02:47
9,0,50,62,0,0,1,2024-04-08 12:04:05
0,0,49,83,0,0,1,2024-04-08 12:04:07
17,0,144,157,0,0,1,2024-04-08 12:05:49
20,0,100,103,1,0,1,2024-04-08 12:08:44
19,0,70,57,0,0,1,2024-04-08 12:09:40
12,0,61,127,1,0,1,2024-04-08 12:10:02
50,0,206,200,0,0,1,2024-04-08 12:12:56
31,0,81,79,0,0,1,2024-04-08 12:13:23
19,0,79,82,0,0,1,2024-04-08 12:16:51
25,0,148,157,0,0,1,2024-04-08 12:20:45
0,55,79,111,0,0,0,2024-04-08 12:21:26
0,23,85,89,0,0,0,2024-04-08 12:27:42
0,30,57,72,1,0,0,2024-04-08 12:35:05
0,10,31,27,1,0,0,2024-04-08 12:35:06
33,0,88,95,0,0,1,2024-04-08 12:38:00
16,0,161,185,0,0,1,2024-04-08 12:39:32
0,37,44,63,0,0,0,2024-04-08 12:39:53
0,34,75,80,1,0,0,2024-04-08 12:41:46
0,33,44,60,1,0,0,2024-04-08 12:53:43
31,0,229,225,1,0,1,2024-04-08 12:58:29
0,17,38,42,0,0,0,2024-04-08 12:59:52
0,16,66,65,1,0,0,2024-04-08 13:01:24
36,0,151,133,0,0,1,2024-04-08 13:02:10
0,56,102,143,0,0,0,2024-04-08 13:05:30
0,25,32,46,0,0,0,2024-04-08 13:05:31
0,13,112,97,0,0,0,2024-04-08 13:08:32
0,20,121,123,1,0,0,2024-04-08 13:11:38
0,18,66,62,1,0,0,2024-04-08 13:20:44
0,18,94,98,0,0,0,2024-04-08 13:27:40
0,26,76,90,0,0,0,2024-04-08 13:27:52
0,7,61,63,0,0,0,2024-04-08 13:27:54
0,3,39,52,0,1,0,2024-04-08 13:28:01
0,0,43,87,0,1,0,2024-04-08 13:28:03
0,8,45,46,0,1,0,2024-04-08 13:28:04
0,21,180,178,0,0,0,2024-04-08 13:28:05
0,22,58,71,0,0,0,2024-04-08 13:28:06
0,8,32,29,0,0,0,2024-04-08 13:28:08
0,6,48,54,0,1,0,2024-04-08 13:28:10
0,6,44,47,0,1,0,2024-04-08 13:28:12
0,11,42,47,0,1,0,2024-04-08 13:28:13
0,14,60,68,0,1,0,2024-04-08 13:28:15
0,5,52,49,0,1,0,2024-04-08 13:28:17
0,6,38,37,0,1,0,2024-04-08 13:28:20
0,20,54,57,0,0,0,2024-04-08 13:28:24
0,12,33,33,0,0,0,2024-04-08 13:28:25
0,10,69,64,0,0,0,2024-04-08 13:28:27
0,6,46,39,0,0,0,2024-04-08 13:28:29
0,13,104,104,0,0,0,2024-04-08 13:28:35
0,26,52,45,0,0,0,2024-04-08 13:28:37
