datetime,occcount,occrate,occcountdiff,occratediff,lecture,maxoccrate,lecturerampafter,lecturerampbefore,test,maxoccrateestimate,exam,tutorium,registered,coursenumber,maxocccount,maxocccountestimate,VL,UE,KS,hod1,hod2,dow1,dow2,week1,week2,holiday,zwickltag,occcount1week,occrate1week,occcount1day,occrate1day,occcountdiff1week,occcountdiff1day,occratediff1week,occratediff1day
2024-04-09 11:00:00,41.0,0.25,8.0,0.04878048780487804,1,0.25,0,0,0,-1.0,0,0,194,340.100,41,0,1,0,0,0.6294095225512605,0.0170370868554659,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-04-09 12:00:00,29.0,0.17682926829268292,-12.0,-0.07317073170731708,1,0.2073170731707317,0,0,0,-1.0,0,0,223,259.002,34,0,1,0,0,0.5000000000000001,0.0,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,47.0,0.2865853658536585,-1.0,47.0,-1.0,0.2865853658536585
2024-04-09 13:00:00,34.0,0.2073170731707317,5.0,0.03048780487804878,1,0.2073170731707317,0,0,0,-1.0,0,0,223,259.002,34,0,1,0,0,0.37059047744873985,0.01703708685546579,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,60.0,0.36585365853658536,-1.0,13.0,-1.0,0.07926829268292684
2024-04-09 14:00:00,23.0,0.1402439024390244,-11.0,-0.0670731707317073,1,0.1402439024390244,0,0,0,-1.0,0,0,185,364.000,23,0,1,0,0,0.24999999999999994,0.0669872981077807,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,30.0,0.18292682926829268,-1.0,-30.0,-1.0,-0.18292682926829268
2024-04-09 15:00:00,23.0,0.1402439024390244,0.0,0.0,1,0.1402439024390244,0,0,0,-1.0,0,0,185,364.000,23,0,1,0,0,0.14644660940672627,0.14644660940672616,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,31.0,0.18902439024390244,-1.0,1.0,-1.0,0.0060975609756097615
2024-04-09 16:00:00,15.0,0.09146341463414634,-8.0,-0.048780487804878064,1,0.09146341463414634,0,0,0,-1.0,0,0,140,340.400,15,0,1,0,0,0.06698729810778081,0.24999999999999978,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,32.0,0.1951219512195122,-1.0,1.0,-1.0,0.0060975609756097615
2024-04-09 17:00:00,15.0,0.09146341463414634,0.0,0.0,1,0.09146341463414634,0,0,0,-1.0,0,0,140,340.400,15,0,1,0,0,0.017037086855465844,0.3705904774487397,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,3.0,0.018292682926829267,-1.0,-29.0,-1.0,-0.17682926829268295
2024-04-09 18:00:00,0.0,0.0,-15.0,-0.09146341463414634,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.0,0.4999999999999999,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,6.0,0.036585365853658534,-1.0,3.0,-1.0,0.018292682926829267
2024-04-09 19:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.01703708685546579,0.6294095225512601,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,1.0,0.006097560975609756,-1.0,-5.0,-1.0,-0.03048780487804878
2024-04-09 20:00:00,1.0,0.006097560975609756,1.0,0.006097560975609756,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.0669872981077807,0.75,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,1.0,0.006097560975609756,-1.0,0.0,-1.0,0.0
2024-04-09 21:00:00,0.0,0.0,-1.0,-0.006097560975609756,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.14644660940672616,0.8535533905932737,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-0.006097560975609756
2024-04-09 22:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.24999999999999978,0.9330127018922192,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-04-09 23:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.37059047744873963,0.9829629131445341,0.890915741234015,0.8117449009293668,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-04-10 00:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.5,1.0,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-04-10 01:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.6294095225512604,0.9829629131445341,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-04-10 02:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.75,0.9330127018922194,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-04-10 03:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.8535533905932737,0.8535533905932737,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-04-10 04:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.9330127018922193,0.75,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-04-10 05:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.9829629131445341,0.6294095225512604,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-04-10 06:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,1.0,0.5,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-04-10 07:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.9829629131445341,0.3705904774487396,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-04-10 08:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.9330127018922194,0.2500000000000001,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,1.0,0.006097560975609756,-1.0,1.0,-1.0,0.006097560975609756
2024-04-10 09:00:00,39.0,0.23780487804878048,39.0,0.23780487804878048,1,0.24390243902439024,0,0,0,-1.0,0,0,148,371.000,40,0,1,0,0,0.8535533905932737,0.14644660940672627,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,34.0,0.2073170731707317,-1.0,33.0,-1.0,0.20121951219512194
2024-04-10 10:00:00,40.0,0.24390243902439024,1.0,0.0060975609756097615,1,0.25,0,0,0,-1.0,0,0,148,371.000,41,0,1,0,0,0.75,0.06698729810778065,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,33.0,0.20121951219512196,-1.0,-1.0,-1.0,-0.006097560975609734
2024-04-10 11:00:00,41.0,0.25,1.0,0.0060975609756097615,1,0.25,0,0,0,-1.0,0,0,117,"325.004,531.170",41,0,1,0,0,0.6294095225512605,0.0170370868554659,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,41.0,0.25,-1.0,8.0,-1.0,0.04878048780487804
