datetime,occcount,occrate,occcountdiff,occratediff,exam,test,tutorium,maxocccount,maxoccrate,lecturerampafterregistered,coursenumber,lecture,lecturerampbefore,VL,UE,KS,hod1,hod2,dow1,dow2,week1,week2,holiday,zwickltag,occcount1week,occrate1week,occrate1day,occcount1day,occcountdiff1week,occcountdiff1day,occratediff1week,occratediff1day
2024-04-08 04:30:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.9238795325112867,0.38268343236508984,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 04:45:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.9469301294951056,0.3214394653031617,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 05:00:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.9659258262890683,0.25881904510252074,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 05:15:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.9807852804032304,0.19509032201612833,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 05:30:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.9914448613738104,0.1305261922200517,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 05:45:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.9978589232386035,0.06540312923014305,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 06:00:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,1.0,6.123233995736766e-17,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 06:15:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.9978589232386035,-0.06540312923014314,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 06:30:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.9914448613738105,-0.13052619222005138,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 06:45:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.9807852804032304,-0.1950903220161282,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 07:00:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.9659258262890683,-0.25881904510252085,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 07:15:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.9469301294951057,-0.32143946530316136,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 07:30:00,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0.9238795325112867,-0.3826834323650897,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-08 07:45:00,1.0,0.006097560975609756,1.0,0.006097560975609756,0,0,0,0,0.0,0,,0,0,0,0,0,0.8968727415326884,-0.44228869021900113,0.0,1.0,0.9709418174260521,-0.2393156642875575,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
