,0
IK,int64
KS,int64
KV,int64
RE,int64
UE,int64
UV,int64
VL,int64
VO,int64
VU,int64
calendarweek,int64
calendarweek1,float64
calendarweek2,float64
coursenumber,object
exam,bool
occount,int64
occrate,int64
registered,int64
roomid,int64
starttime,datetime64[ns]
starttime1,float64
starttime2,float64
test,bool
tutorium,bool
weekday,object
weekday1,float64
weekday2,float64
