datetime,occcount,occrate,occcount1week,occcountdiff,occcountdiff1week,occrate1week,occratediff,occratediff1week,course_number,test,registered,lecture,tutorium,exam,VO,UE,KS,VL,IK,KV,UV,RE,VU,hod1,hod2,dow1,dow2,week1,week2
2024-04-08 10:30:00,44.0,0.2894736842105263,-2.0,36.0,-2.0,-2.0,0.2368421052631579,-2.0,238.302,0,115,1,0,0,0,0,1,0,0,0,0,0,0,0.3826834323650899,-0.9238795325112867,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 11:00:00,43.0,0.28289473684210525,-2.0,-1.0,-2.0,-2.0,-0.006578947368421073,-2.0,238.302,0,115,1,0,0,0,0,1,0,0,0,0,0,0,0.258819045102521,-0.9659258262890682,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 11:30:00,10.0,0.06578947368421052,-2.0,-33.0,-2.0,-2.0,-0.21710526315789475,-2.0,238.302,0,115,1,0,0,0,0,1,0,0,0,0,0,0,0.13052619222005157,-0.9914448613738104,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 12:00:00,28.0,0.18421052631578946,-2.0,18.0,-2.0,-2.0,0.11842105263157894,-2.0,231.115,0,72,1,0,0,0,0,0,0,0,0,0,0,1,1.2246467991473532e-16,-1.0,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 12:30:00,32.0,0.21052631578947367,-2.0,4.0,-2.0,-2.0,0.02631578947368421,-2.0,231.115,0,72,1,0,0,0,0,0,0,0,0,0,0,1,-0.13052619222005177,-0.9914448613738104,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 13:00:00,29.0,0.19078947368421054,-2.0,-3.0,-2.0,-2.0,-0.019736842105263136,-2.0,231.115,0,72,1,0,0,0,0,0,0,0,0,0,0,1,-0.25881904510252035,-0.9659258262890684,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 13:30:00,25.0,0.16447368421052633,-2.0,-4.0,-2.0,-2.0,-0.02631578947368421,-2.0,231.115,0,72,1,0,0,0,0,0,0,0,0,0,0,1,-0.38268343236508967,-0.9238795325112868,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 14:00:00,13.0,0.08552631578947369,-2.0,-12.0,-2.0,-2.0,-0.07894736842105264,-2.0,190.035,0,64,1,0,0,0,0,1,0,0,0,0,0,0,-0.5000000000000001,-0.8660254037844386,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 14:30:00,13.0,0.08552631578947369,-2.0,0.0,-2.0,-2.0,0.0,-2.0,190.035,0,64,1,0,0,0,0,1,0,0,0,0,0,0,-0.6087614290087203,-0.7933533402912354,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 15:00:00,13.0,0.08552631578947369,-2.0,0.0,-2.0,-2.0,0.0,-2.0,190.035,0,64,1,0,0,0,0,1,0,0,0,0,0,0,-0.7071067811865475,-0.7071067811865477,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 15:30:00,14.0,0.09210526315789473,-2.0,1.0,-2.0,-2.0,0.006578947368421045,-2.0,140.004,0,119,1,0,0,0,0,0,1,0,0,0,0,0,-0.7933533402912349,-0.6087614290087209,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 16:00:00,14.0,0.09210526315789473,-2.0,0.0,-2.0,-2.0,0.0,-2.0,140.004,0,119,1,0,0,0,0,0,1,0,0,0,0,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 16:30:00,14.0,0.09210526315789473,-2.0,0.0,-2.0,-2.0,0.0,-2.0,140.004,0,119,1,0,0,0,0,0,1,0,0,0,0,0,-0.9238795325112865,-0.38268343236509034,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 17:00:00,14.0,0.09210526315789473,-2.0,0.0,-2.0,-2.0,0.0,-2.0,140.004,0,119,1,0,0,0,0,0,1,0,0,0,0,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 17:30:00,0.0,0.0,-2.0,-14.0,-2.0,-2.0,-0.09210526315789473,-2.0,140.004,0,119,1,0,0,0,0,0,1,0,0,0,0,0,-0.9914448613738104,-0.13052619222005163,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 18:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,140.004,0,119,1,0,0,0,0,0,1,0,0,0,0,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 18:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9914448613738105,0.13052619222005127,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 19:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 19:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9238795325112866,0.38268343236509,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 20:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 20:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7933533402912352,0.6087614290087205,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 21:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 21:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6087614290087209,0.7933533402912349,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 22:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 22:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3826834323650904,0.9238795325112865,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 23:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2588190451025207,0.9659258262890683,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-08 23:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13052619222005168,0.9914448613738104,0.0,1.0,0.9709418174260521,-0.2393156642875575
2024-04-09 00:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 00:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13052619222005157,0.9914448613738104,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 01:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 01:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3826834323650898,0.9238795325112867,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 02:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 02:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6087614290087207,0.7933533402912352,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 03:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 03:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7933533402912352,0.6087614290087207,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 04:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 04:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9238795325112867,0.38268343236508984,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 05:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 05:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9914448613738104,0.1305261922200517,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 06:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 06:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9914448613738105,-0.13052619222005138,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 07:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9659258262890683,-0.25881904510252085,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 07:30:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9238795325112867,-0.3826834323650897,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 08:00:00,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,-2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 08:30:00,21.0,0.13815789473684212,-2.0,21.0,-2.0,-2.0,0.13815789473684212,-2.0,366.560,0,148,1,0,0,1,0,0,0,0,0,0,0,0,0.7933533402912352,-0.6087614290087207,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 09:00:00,25.0,0.16447368421052633,-2.0,4.0,-2.0,-2.0,0.02631578947368421,-2.0,366.560,0,148,1,0,0,1,0,0,0,0,0,0,0,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 09:30:00,25.0,0.16447368421052633,-2.0,0.0,-2.0,-2.0,0.0,-2.0,366.560,0,148,1,0,0,1,0,0,0,0,0,0,0,0,0.6087614290087209,-0.793353340291235,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 10:00:00,0.0,0.0,-2.0,-25.0,-2.0,-2.0,-0.16447368421052633,-2.0,366.560,0,148,1,0,0,1,0,0,0,0,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 10:30:00,29.0,0.19078947368421054,-2.0,29.0,-2.0,-2.0,0.19078947368421054,-2.0,360.001,0,242,1,0,0,0,0,0,1,0,0,0,0,0,0.3826834323650899,-0.9238795325112867,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 11:00:00,28.0,0.18421052631578946,-2.0,-1.0,-2.0,-2.0,-0.006578947368421073,-2.0,360.001,0,242,1,0,0,0,0,0,1,0,0,0,0,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 11:30:00,28.0,0.18421052631578946,-2.0,0.0,-2.0,-2.0,0.0,-2.0,360.001,0,242,1,0,0,0,0,0,1,0,0,0,0,0,0.13052619222005157,-0.9914448613738104,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 12:00:00,17.0,0.1118421052631579,-2.0,-11.0,-2.0,-2.0,-0.07236842105263157,-2.0,382.037,0,139,1,0,0,0,0,0,1,0,0,0,0,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 12:30:00,27.0,0.17763157894736842,-2.0,10.0,-2.0,-2.0,0.06578947368421052,-2.0,382.037,0,139,1,0,0,0,0,0,1,0,0,0,0,0,-0.13052619222005177,-0.9914448613738104,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 13:00:00,26.0,0.17105263157894737,-2.0,-1.0,-2.0,-2.0,-0.006578947368421045,-2.0,382.037,0,139,1,0,0,0,0,0,1,0,0,0,0,0,-0.25881904510252035,-0.9659258262890684,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 13:30:00,24.0,0.15789473684210525,-2.0,-2.0,-2.0,-2.0,-0.013157894736842118,-2.0,382.037,0,139,1,0,0,0,0,0,1,0,0,0,0,0,-0.38268343236508967,-0.9238795325112868,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 14:00:00,26.0,0.17105263157894737,-2.0,2.0,-2.0,-2.0,0.013157894736842118,-2.0,382.037,0,139,1,0,0,0,0,0,1,0,0,0,0,0,-0.5000000000000001,-0.8660254037844386,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 14:30:00,26.0,0.17105263157894737,-2.0,0.0,-2.0,-2.0,0.0,-2.0,382.037,0,139,1,0,0,0,0,0,1,0,0,0,0,0,-0.6087614290087203,-0.7933533402912354,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 15:00:00,25.0,0.16447368421052633,-2.0,-1.0,-2.0,-2.0,-0.006578947368421045,-2.0,382.037,0,139,1,0,0,0,0,0,1,0,0,0,0,0,-0.7071067811865475,-0.7071067811865477,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 15:30:00,34.0,0.2236842105263158,-2.0,9.0,-2.0,-2.0,0.05921052631578946,-2.0,229.054,0,138,1,0,0,0,0,0,0,0,0,0,0,1,-0.7933533402912349,-0.6087614290087209,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 16:00:00,40.0,0.2631578947368421,-2.0,6.0,-2.0,-2.0,0.0394736842105263,-2.0,229.054,0,138,1,0,0,0,0,0,0,0,0,0,0,1,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 16:30:00,38.0,0.25,-2.0,-2.0,-2.0,-2.0,-0.01315789473684209,-2.0,229.054,0,138,1,0,0,0,0,0,0,0,0,0,0,1,-0.9238795325112865,-0.38268343236509034,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
2024-04-09 17:00:00,35.0,0.23026315789473684,-2.0,-3.0,-2.0,-2.0,-0.019736842105263164,-2.0,229.054,0,138,1,0,0,0,0,0,0,0,0,0,0,1,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,0.9709418174260521,-0.2393156642875575
