course_number,room,start_time,end_time,room_capacity,note
531.120,HS 18,2024-04-18 10:15:00,2024-04-18 11:45:00,164,
531.120,HS 18,2024-04-18 12:00:00,2024-04-18 13:30:00,164,Tutorium / Fragestunde
531.240,HS 19,2024-04-18 13:45:00,2024-04-18 14:30:00,152,
531.208,HS 18,2024-04-18 13:45:00,2024-04-18 15:15:00,164,
531.242,HS 19,2024-04-18 13:45:00,2024-04-18 14:30:00,152,
531.241,HS 19,2024-04-18 13:45:00,2024-04-18 14:30:00,152,
531.240,HS 19,2024-04-18 14:30:00,2024-04-18 15:15:00,152,
339.170,HS 19,2024-04-18 15:30:00,2024-04-18 17:00:00,152,
190.300,HS 19,2024-04-18 17:15:00,2024-04-18 19:45:00,152,Schadenersatz - Abgabe Hausarbeit
339.191,HS 18,2024-04-18 19:00:00,2024-04-18 19:45:00,164,19:00 - 19:30 Uhr Test
361.001,HS 19,2024-04-19 08:30:00,2024-04-19 10:00:00,152,
243.115,HS 18,2024-04-19 08:30:00,2024-04-19 11:45:00,164,
339.341,HS 18,2024-04-19 12:00:00,2024-04-19 18:00:00,164,
368.190,HS 19,2024-04-22 08:30:00,2024-04-22 10:00:00,152,
238.302,HS 19,2024-04-22 10:15:00,2024-04-22 11:45:00,152,
231.115,HS 19,2024-04-22 12:00:00,2024-04-22 13:30:00,152,
258.410,HS 18,2024-04-22 12:00:00,2024-04-22 13:30:00,164,Cluster Analysis / Outlier Detection
136.309,HS 18,2024-04-22 13:45:00,2024-04-22 15:15:00,164,
190.035,HS 19,2024-04-22 13:45:00,2024-04-22 15:15:00,152,
252.031,HS 19,2024-04-22 15:30:00,2024-04-22 17:00:00,152,Reflexion in Kleingruppen
238.213,HS 18,2024-04-22 15:30:00,2024-04-22 17:00:00,164,
360.001,HS 19,2024-04-22 17:15:00,2024-04-22 18:45:00,152,Tutorium
366.560,HS 19,2024-04-23 08:30:00,2024-04-23 10:00:00,152,
361.001,HS 18,2024-04-23 08:30:00,2024-04-23 10:00:00,164,
360.001,HS 19,2024-04-23 10:15:00,2024-04-23 11:45:00,152,
340.100,HS 18,2024-04-23 10:15:00,2024-04-23 11:45:00,164,
259.002,HS 18,2024-04-23 12:00:00,2024-04-23 13:30:00,164,"Präsenztermin, Video Einheit: Collections"
382.037,HS 19,2024-04-23 12:00:00,2024-04-23 15:15:00,152,
364.000,HS 18,2024-04-23 13:45:00,2024-04-23 15:15:00,164,Advanced Texture Mapping & Graphics Pipelines
340.400,HS 18,2024-04-23 15:30:00,2024-04-23 17:00:00,164,
229.054,HS 19,2024-04-23 15:30:00,2024-04-23 18:00:00,152,
371.000,HS 18,2024-04-24 08:30:00,2024-04-24 10:00:00,164,
531.170,HS 18,2024-04-24 10:15:00,2024-04-24 11:45:00,164,
327.029,HS 19,2024-04-24 10:15:00,2024-04-24 11:45:00,152,
325.004,HS 18,2024-04-24 10:15:00,2024-04-24 11:45:00,164,
258.300,HS 18,2024-04-24 12:00:00,2024-04-24 13:30:00,164,"WebIS: XML, DBS: Temporal DBS"
259.022,HS 19,2024-04-24 12:00:00,2024-04-24 14:30:00,152,Exercise Part 1: Discussion
257.200,HS 18,2024-04-24 13:45:00,2024-04-24 15:15:00,164,
365.232,HS 19,2024-04-24 14:30:00,2024-04-24 15:15:00,152,
257.214,HS 18,2024-04-24 15:30:00,2024-04-24 17:00:00,164,
257.211,HS 18,2024-04-24 15:30:00,2024-04-24 17:00:00,164,
257.213,HS 18,2024-04-24 15:30:00,2024-04-24 17:00:00,164,
256.600,HS 18,2024-04-24 17:15:00,2024-04-24 18:45:00,164,Vertiefungsthema Künstliche Intelligenz (KI)
358.001,HS 19,2024-04-25 08:30:00,2024-04-25 10:00:00,152,
371.000,HS 18,2024-04-25 08:30:00,2024-04-25 10:00:00,164,
327.029,HS 19,2024-04-25 10:15:00,2024-04-25 11:45:00,152,
531.120,HS 18,2024-04-25 10:15:00,2024-04-25 11:45:00,164,
531.120,HS 18,2024-04-25 12:00:00,2024-04-25 13:30:00,164,Tutorium / Fragestunde
531.208,HS 18,2024-04-25 13:45:00,2024-04-25 15:15:00,164,
531.240,HS 19,2024-04-25 13:45:00,2024-04-25 14:30:00,152,
531.242,HS 19,2024-04-25 13:45:00,2024-04-25 14:30:00,152,
531.241,HS 19,2024-04-25 13:45:00,2024-04-25 14:30:00,152,
531.240,HS 19,2024-04-25 14:30:00,2024-04-25 15:15:00,152,
339.170,HS 19,2024-04-25 15:30:00,2024-04-25 17:00:00,152,
190.300,HS 19,2024-04-25 17:15:00,2024-04-25 19:45:00,152,Schadenersatz
361.001,HS 19,2024-04-26 08:30:00,2024-04-26 10:00:00,152,
362.064,HS 19,2024-04-26 10:15:00,2024-04-26 11:45:00,152,Tutorium 1. TK
362.065,HS 19,2024-04-26 10:15:00,2024-04-26 11:45:00,152,Tutorium 1. TK
531.163,HS 18,2024-04-26 10:15:00,2024-04-26 12:45:00,164,1. Teilklausur
362.066,HS 19,2024-04-26 10:15:00,2024-04-26 11:45:00,152,Tutorium 1. TK
362.068,HS 19,2024-04-26 10:15:00,2024-04-26 11:45:00,152,Tutorium 1. TK
362.073,HS 19,2024-04-26 10:15:00,2024-04-26 11:45:00,152,Tutorium 1. TK
238.302,HS 19,2024-04-29 10:15:00,2024-04-29 11:45:00,152,
231.115,HS 19,2024-04-29 12:00:00,2024-04-29 13:30:00,152,
258.410,HS 18,2024-04-29 12:00:00,2024-04-29 13:30:00,164,Q & A / Exam Preparation
136.309,HS 18,2024-04-29 13:45:00,2024-04-29 15:15:00,164,
190.035,HS 19,2024-04-29 13:45:00,2024-04-29 15:15:00,152,
238.213,HS 18,2024-04-29 15:30:00,2024-04-29 17:00:00,164,
140.004,HS 19,2024-04-29 15:30:00,2024-04-29 18:00:00,152,
360.001,HS 18,2024-04-29 17:15:00,2024-04-29 18:45:00,164,Tutorium
366.560,HS 19,2024-04-30 08:30:00,2024-04-30 10:00:00,152,
361.001,HS 18,2024-04-30 08:30:00,2024-04-30 10:00:00,164,
360.001,HS 19,2024-04-30 10:15:00,2024-04-30 11:45:00,152,
382.037,HS 19,2024-04-30 12:00:00,2024-04-30 15:15:00,152,
364.000,HS 18,2024-04-30 13:45:00,2024-04-30 15:15:00,164,Intermediate Exam
229.054,HS 19,2024-04-30 15:30:00,2024-04-30 18:00:00,152,
358.001,HS 19,2024-05-02 08:30:00,2024-05-02 10:00:00,152,
371.000,HS 18,2024-05-02 08:30:00,2024-05-02 10:00:00,164,
531.120,HS 18,2024-05-02 10:15:00,2024-05-02 11:45:00,164,
327.029,HS 19,2024-05-02 10:15:00,2024-05-02 11:45:00,152,
531.120,HS 18,2024-05-02 12:00:00,2024-05-02 13:30:00,164,Tutorium / Fragestunde
531.241,HS 19,2024-05-02 13:45:00,2024-05-02 14:30:00,152,
531.240,HS 19,2024-05-02 13:45:00,2024-05-02 14:30:00,152,
531.208,HS 18,2024-05-02 13:45:00,2024-05-02 15:15:00,164,
531.242,HS 19,2024-05-02 13:45:00,2024-05-02 14:30:00,152,
531.240,HS 19,2024-05-02 14:30:00,2024-05-02 15:15:00,152,"1. Test, Nachname A - R"
339.170,HS 19,2024-05-02 15:30:00,2024-05-02 17:00:00,152,
190.300,HS 19,2024-05-02 17:15:00,2024-05-02 19:45:00,152,Stellvertretung
361.001,HS 19,2024-05-03 08:30:00,2024-05-03 10:00:00,152,
243.115,HS 18,2024-05-03 08:30:00,2024-05-03 11:45:00,164,
361.001,HS 19,2024-05-03 10:15:00,2024-05-03 12:45:00,152,Klausur
367.145,HS 18,2024-05-06 08:30:00,2024-05-06 11:45:00,164,
367.144,HS 18,2024-05-06 08:30:00,2024-05-06 11:45:00,164,
368.190,HS 19,2024-05-06 08:30:00,2024-05-06 10:00:00,152,
238.302,HS 19,2024-05-06 10:15:00,2024-05-06 11:45:00,152,
231.115,HS 19,2024-05-06 12:00:00,2024-05-06 13:30:00,152,
136.309,HS 18,2024-05-06 13:45:00,2024-05-06 15:15:00,164,
190.035,HS 19,2024-05-06 13:45:00,2024-05-06 15:15:00,152,
238.213,HS 18,2024-05-06 15:30:00,2024-05-06 17:00:00,164,
140.004,HS 19,2024-05-06 15:30:00,2024-05-06 18:00:00,152,
360.001,HS 18,2024-05-06 17:15:00,2024-05-06 18:45:00,164,Tutorium
361.001,HS 18,2024-05-07 08:30:00,2024-05-07 10:00:00,164,
366.560,HS 19,2024-05-07 08:30:00,2024-05-07 10:00:00,152,
340.100,HS 18,2024-05-07 10:15:00,2024-05-07 11:45:00,164,
360.001,HS 19,2024-05-07 10:15:00,2024-05-07 11:45:00,152,
382.037,HS 19,2024-05-07 12:00:00,2024-05-07 15:15:00,152,
269.030,HS 18,2024-05-07 12:00:00,2024-05-07 13:30:00,164,Klausur
364.000,HS 18,2024-05-07 13:45:00,2024-05-07 15:15:00,164,Global Illumination I: Raytracing
340.400,HS 18,2024-05-07 15:30:00,2024-05-07 17:00:00,164,
371.000,HS 18,2024-05-08 08:30:00,2024-05-08 10:00:00,164,
325.004,HS 18,2024-05-08 10:15:00,2024-05-08 11:45:00,164,
531.170,HS 18,2024-05-08 10:15:00,2024-05-08 11:45:00,164,
327.029,HS 19,2024-05-08 10:15:00,2024-05-08 11:45:00,152,
258.300,HS 18,2024-05-08 12:00:00,2024-05-08 13:30:00,164,DBS: Active DBS and BREs
259.022,HS 19,2024-05-08 12:00:00,2024-05-08 14:30:00,152,Architecture Documentation and Knowledge Management
257.200,HS 18,2024-05-08 13:45:00,2024-05-08 15:15:00,164,
365.232,HS 19,2024-05-08 14:30:00,2024-05-08 15:15:00,152,
