time,people_in,people_out,people_inside
2024-06-04 13:30:00,0,0,0
2024-06-04 13:31:00,0,0,0
2024-06-04 13:32:00,1,0,1
2024-06-04 13:33:00,1,0,1
2024-06-04 13:34:00,2,0,2
2024-06-04 13:35:00,2,0,2
2024-06-04 13:36:00,2,0,2
2024-06-04 13:37:00,2,0,2
2024-06-04 13:38:00,2,0,2
2024-06-04 13:39:00,4,0,4
2024-06-04 13:40:00,5,0,5
2024-06-04 13:41:00,6,0,6
2024-06-04 13:42:00,7,0,7
2024-06-04 13:43:00,7,0,7
2024-06-04 13:43:00,7,0,7
2024-06-04 13:44:00,8,0,8
2024-06-04 13:45:00,1,0,9
2024-06-04 13:46:00,1,0,9
2024-06-04 13:47:00,1,0,9
2024-06-04 13:48:00,1,0,9
2024-06-04 13:49:00,1,0,9
2024-06-04 13:50:00,1,0,9
2024-06-04 13:51:00,1,0,9
2024-06-04 13:52:00,1,0,9
2024-06-04 13:53:00,1,0,9
2024-06-04 13:54:00,1,0,9
2024-06-04 13:55:00,1,0,9
2024-06-04 13:56:00,1,0,9
2024-06-04 13:57:00,1,0,9
2024-06-04 13:58:00,1,0,9
2024-06-04 13:59:00,1,0,9
2024-06-04 14:00:00,1,0,9
2024-06-04 14:01:00,1,0,9
2024-06-04 14:02:00,1,0,9
2024-06-04 14:03:00,1,0,9
2024-06-04 14:04:00,1,0,9
2024-06-04 14:05:00,1,0,9
2024-06-04 14:06:00,1,0,9
2024-06-04 14:07:00,1,0,9
2024-06-04 14:08:00,1,0,9
2024-06-04 14:09:00,1,0,9
2024-06-04 14:10:00,1,0,9
2024-06-04 14:11:00,1,0,9
2024-06-04 14:12:00,1,0,9
2024-06-04 14:13:00,1,0,9
2024-06-04 14:14:00,1,0,9
2024-06-04 14:15:00,1,0,9
2024-06-04 14:16:00,1,0,9
2024-06-04 14:17:00,1,0,9
2024-06-04 14:18:00,1,0,9
2024-06-04 14:19:00,1,0,9
2024-06-04 14:20:00,1,0,9
2024-06-04 14:21:00,1,0,9
2024-06-04 14:22:00,1,0,9
2024-06-04 14:23:00,1,0,9
2024-06-04 14:24:00,1,0,9
2024-06-04 14:25:00,1,0,9
2024-06-04 14:26:00,1,0,9
2024-06-04 14:27:00,1,0,9
2024-06-04 14:28:00,1,0,9
2024-06-04 14:29:00,1,0,9
2024-06-04 14:30:00,1,0,9
2024-06-04 14:31:00,1,0,9
2024-06-04 14:32:00,1,0,9
2024-06-04 14:33:00,1,0,9
2024-06-04 14:34:00,1,0,9
2024-06-04 14:35:00,1,0,9
2024-06-04 14:36:00,1,0,9
2024-06-04 14:37:00,1,0,9
2024-06-04 14:38:00,1,0,9
2024-06-04 14:39:00,1,0,9
2024-06-04 14:40:00,1,0,9
2024-06-04 14:41:00,1,0,9
2024-06-04 14:42:00,1,0,9
2024-06-04 14:43:00,1,0,9
2024-06-04 14:44:00,1,0,9
2024-06-04 14:45:00,1,0,9
2024-06-04 14:46:00,1,0,9
2024-06-04 14:47:00,1,0,9
2024-06-04 14:48:00,1,0,9
2024-06-04 14:49:00,1,0,9
2024-06-04 14:50:00,1,0,9
2024-06-04 14:51:00,1,0,9
2024-06-04 14:52:00,1,0,9
2024-06-04 14:53:00,1,0,9
2024-06-04 14:54:00,1,5,4
2024-06-04 14:55:00,1,9,0
2024-06-04 14:56:00,1,9,0
2024-06-04 14:57:00,1,9,0
2024-06-04 14:58:00,1,9,0
2024-06-04 14:59:00,1,9,0
2024-06-04 15:00:00,1,9,0
2024-06-04 15:01:00,1,9,0
2024-06-04 15:02:00,1,9,0
2024-06-04 15:03:00,1,9,0
2024-06-04 15:04:00,2,9,1
2024-06-04 15:05:00,2,10,0
2024-06-04 15:06:00,2,10,0
2024-06-04 15:07:00,2,10,0
2024-06-04 15:08:00,2,10,0
2024-06-04 15:09:00,2,10,0
2024-06-04 15:10:00,2,10,0
2024-06-04 15:11:00,2,10,0
2024-06-04 15:12:00,2,10,0
2024-06-04 15:13:00,2,10,0
2024-06-04 15:14:00,2,10,0
2024-06-04 15:15:00,0,0,0
2024-06-04 15:16:00,0,0,0
2024-06-04 15:17:00,0,0,0
2024-06-04 15:18:00,0,0,0
2024-06-04 15:19:00,0,0,0
2024-06-04 15:20:00,0,0,0
2024-06-04 15:21:00,0,0,0
2024-06-04 15:22:00,0,0,0
2024-06-04 15:23:00,0,0,0
2024-06-04 15:24:00,0,0,0
2024-06-04 15:25:00,0,0,0
2024-06-04 15:26:00,0,0,0
2024-06-04 15:27:00,0,0,0
2024-06-04 15:28:00,0,0,0
2024-06-04 15:29:00,0,0,0
2024-06-04 15:30:00,0,0,0
2024-06-04 15:31:00,0,0,0
2024-06-04 15:32:00,0,0,0
2024-06-04 15:33:00,0,0,0
2024-06-04 15:34:00,0,0,0
2024-06-04 15:35:00,0,0,0
2024-06-04 15:36:00,0,0,0
2024-06-04 15:37:00,0,0,0
2024-06-04 15:38:00,0,0,0
2024-06-04 15:39:00,0,0,0
2024-06-04 15:40:00,0,0,0
2024-06-04 15:41:00,0,0,0
2024-06-04 15:42:00,0,0,0
2024-06-04 15:43:00,0,0,0
2024-06-04 15:44:00,0,0,0
