time,people_in,people_out,people_inside
2024-05-07 13:30:00,0,0,0
2024-05-07 13:31:00,0,0,0
2024-05-07 13:32:00,1,0,1
2024-05-07 13:33:00,1,0,1
2024-05-07 13:34:00,3,0,3
2024-05-07 13:35:00,3,0,3
2024-05-07 13:36:00,4,0,4
2024-05-07 13:37:00,4,0,4
2024-05-07 13:38:00,5,0,5
2024-05-07 13:39:00,5,0,5
2024-05-07 13:40:00,5,0,5
2024-05-07 13:41:00,6,0,6
2024-05-07 13:42:00,8,0,8
2024-05-07 13:43:00,8,0,8
2024-05-07 13:44:00,8,0,8
2024-05-07 13:45:00,0,0,8
2024-05-07 13:46:00,0,0,8
2024-05-07 13:47:00,0,0,8
2024-05-07 13:48:00,1,0,9
2024-05-07 13:49:00,1,0,9
2024-05-07 13:50:00,1,0,9
2024-05-07 13:51:00,1,0,9
2024-05-07 13:52:00,1,0,9
2024-05-07 13:53:00,1,0,9
2024-05-07 13:54:00,1,0,9
2024-05-07 13:55:00,1,0,9
2024-05-07 13:56:00,1,0,9
2024-05-07 13:57:00,1,0,9
2024-05-07 13:58:00,1,0,9
2024-05-07 13:59:00,1,0,9
2024-05-07 14:00:00,1,0,9
2024-05-07 14:01:00,1,0,9
2024-05-07 14:02:00,1,0,9
2024-05-07 14:03:00,1,0,9
2024-05-07 14:04:00,1,0,9
2024-05-07 14:05:00,1,0,9
2024-05-07 14:06:00,1,0,9
2024-05-07 14:07:00,1,0,9
2024-05-07 14:08:00,1,0,9
2024-05-07 14:09:00,1,0,9
2024-05-07 14:10:00,1,0,9
2024-05-07 14:11:00,1,0,9
2024-05-07 14:12:00,1,0,9
2024-05-07 14:13:00,1,0,9
2024-05-07 14:14:00,1,0,9
2024-05-07 14:15:00,1,0,9
2024-05-07 14:16:00,1,0,9
2024-05-07 14:17:00,1,0,9
2024-05-07 14:18:00,1,0,9
2024-05-07 14:19:00,1,0,9
2024-05-07 14:20:00,1,0,9
2024-05-07 14:21:00,1,0,9
2024-05-07 14:22:00,1,0,9
2024-05-07 14:23:00,1,0,9
2024-05-07 14:24:00,1,0,9
2024-05-07 14:25:00,1,0,9
2024-05-07 14:26:00,1,0,9
2024-05-07 14:27:00,1,0,9
2024-05-07 14:28:00,1,1,8
2024-05-07 14:29:00,1,1,8
2024-05-07 14:30:00,2,1,9
2024-05-07 14:31:00,2,1,9
2024-05-07 14:32:00,2,1,9
2024-05-07 14:33:00,2,1,9
2024-05-07 14:34:00,2,1,9
2024-05-07 14:35:00,2,1,9
2024-05-07 14:36:00,2,1,9
2024-05-07 14:37:00,2,1,9
2024-05-07 14:38:00,2,1,9
2024-05-07 14:39:00,2,1,9
2024-05-07 14:40:00,2,1,9
2024-05-07 14:41:00,2,1,9
2024-05-07 14:42:00,2,1,9
2024-05-07 14:43:00,2,1,9
2024-05-07 14:44:00,2,1,9
2024-05-07 14:45:00,2,1,9
2024-05-07 14:46:00,2,1,9
2024-05-07 14:47:00,2,1,9
2024-05-07 14:48:00,2,1,9
2024-05-07 14:49:00,2,1,9
2024-05-07 14:50:00,2,1,9
2024-05-07 14:51:00,2,1,9
2024-05-07 14:52:00,2,1,9
2024-05-07 14:53:00,2,1,9
2024-05-07 14:54:00,2,1,9
2024-05-07 14:55:00,2,1,9
2024-05-07 14:56:00,2,1,9
2024-05-07 14:57:00,2,1,9
2024-05-07 14:58:00,2,1,9
2024-05-07 14:59:00,2,1,9
2024-05-07 15:00:00,2,1,9
2024-05-07 15:01:00,2,1,9
2024-05-07 15:02:00,2,1,9
2024-05-07 15:03:00,2,1,9
2024-05-07 15:04:00,2,1,9
2024-05-07 15:05:00,2,6,4
2024-05-07 15:06:00,2,10,0
2024-05-07 15:07:00,3,10,1
2024-05-07 15:08:00,3,10,1
2024-05-07 15:09:00,4,10,2
2024-05-07 15:10:00,4,10,2
2024-05-07 15:11:00,4,10,2
2024-05-07 15:12:00,5,10,3
2024-05-07 15:13:00,6,11,3
2024-05-07 15:14:00,6,11,3
2024-05-07 15:15:00,0,0,3
2024-05-07 15:16:00,0,0,3
2024-05-07 15:17:00,0,0,3
2024-05-07 15:18:00,0,0,3
2024-05-07 15:19:00,0,0,3
2024-05-07 15:20:00,0,0,3
2024-05-07 15:21:00,0,0,3
2024-05-07 15:22:00,0,0,3
2024-05-07 15:23:00,2,0,3
2024-05-07 15:24:00,5,0,3
2024-05-07 15:25:00,7,0,3
2024-05-07 15:26:00,7,0,3
2024-05-07 15:27:00,7,0,3
2024-05-07 15:28:00,7,0,3
2024-05-07 15:29:00,8,0,3
