,time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
50,2024-05-29 08:20:04,4,0,19,19,1,0,1
49,2024-05-29 08:20:27,0,11,77,30,1,0,0
48,2024-05-29 08:23:32,5,0,20,20,1,0,1
47,2024-05-29 08:24:01,3,0,33,34,1,0,1
46,2024-05-29 08:24:02,3,0,58,63,1,0,1
45,2024-05-29 08:24:52,11,0,32,33,1,0,1
44,2024-05-29 08:31:28,5,0,33,31,1,0,1
43,2024-05-29 08:31:55,9,0,145,169,1,0,1
42,2024-05-29 08:32:33,3,0,342,349,1,0,1
41,2024-05-29 08:32:48,6,0,20,18,1,0,1
40,2024-05-29 08:40:43,7,0,124,0,1,0,5
39,2024-05-29 08:40:45,0,19,0,311,1,0,6
38,2024-05-29 08:43:26,4,0,228,234,1,0,1
37,2024-05-29 09:09:14,6,0,305,327,1,0,1
36,2024-05-29 09:24:21,9,0,334,366,1,0,1
35,2024-05-29 09:39:30,0,15,67,65,1,0,0
34,2024-05-29 09:41:10,24,0,147,303,1,0,1
33,2024-05-29 09:43:39,0,7,24,22,1,0,0
32,2024-05-29 09:46:35,4,0,355,369,1,0,1
31,2024-05-29 09:59:53,0,5,61,55,1,0,0
30,2024-05-29 10:01:21,0,8,105,98,1,0,0
29,2024-05-29 10:01:37,0,9,28,24,1,0,0
28,2024-05-29 10:01:40,0,10,26,25,1,0,0
27,2024-05-29 10:01:42,0,1,28,25,1,0,0
26,2024-05-29 10:01:49,0,12,90,45,1,0,0
25,2024-05-29 10:02:08,0,12,60,41,1,0,0
24,2024-05-29 10:02:25,0,10,42,35,1,0,0
23,2024-05-29 10:02:29,0,8,21,25,1,0,0
22,2024-05-29 10:02:38,0,7,33,31,1,0,0
21,2024-05-29 10:02:42,0,11,50,47,1,0,0
20,2024-05-29 10:02:43,0,5,49,35,1,0,0
19,2024-05-29 10:02:44,0,7,21,21,1,0,0
18,2024-05-29 10:02:46,0,10,33,23,1,0,0
17,2024-05-29 10:03:25,11,0,29,32,1,0,1
16,2024-05-29 10:03:32,7,0,26,22,1,0,1
15,2024-05-29 10:05:18,12,0,23,21,1,0,1
14,2024-05-29 10:05:33,0,6,18,15,1,0,0
13,2024-05-29 10:06:41,5,0,30,33,1,0,1
12,2024-05-29 10:07:23,13,0,38,29,1,0,1
11,2024-05-29 10:07:32,24,0,57,44,1,0,1
10,2024-05-29 10:07:33,6,0,23,26,1,0,1
9,2024-05-29 10:09:18,9,0,38,39,1,0,1
8,2024-05-29 10:09:28,19,0,34,20,1,0,1
7,2024-05-29 10:10:26,0,4,24,18,1,0,0
6,2024-05-29 10:11:04,14,0,25,17,1,0,1
5,2024-05-29 10:14:28,12,0,32,27,1,0,1
4,2024-05-29 10:14:31,4,0,27,25,1,0,1
3,2024-05-29 10:14:32,14,0,37,31,1,0,1
2,2024-05-29 10:14:33,13,0,29,36,1,0,1
1,2024-05-29 10:14:34,10,0,36,38,1,0,1
0,2024-05-29 10:14:37,28,0,67,49,1,0,1
