,time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
20,2024-06-06 10:00:31,0,30,93,100,0,0,0
101,2024-06-06 10:01:17,0,3,29,31,0,1,0
19,2024-06-06 10:01:44,0,40,50,98,0,0,0
18,2024-06-06 10:01:46,49,0,26,85,0,0,1
17,2024-06-06 10:01:47,7,0,93,28,0,0,1
16,2024-06-06 10:01:48,12,0,33,37,0,0,1
100,2024-06-06 10:01:48,0,13,54,50,0,1,0
15,2024-06-06 10:01:49,8,0,33,42,0,0,1
99,2024-06-06 10:01:50,0,24,20,11,0,1,0
14,2024-06-06 10:01:51,16,0,50,0,0,0,5
98,2024-06-06 10:01:53,0,25,0,21,0,1,6
97,2024-06-06 10:01:55,0,3,17,17,0,1,0
96,2024-06-06 10:01:56,0,4,25,30,0,1,0
95,2024-06-06 10:01:59,0,5,40,42,0,1,0
13,2024-06-06 10:02:01,0,16,65,62,0,0,0
94,2024-06-06 10:02:01,0,7,28,31,0,1,0
12,2024-06-06 10:02:02,0,4,20,17,0,0,0
93,2024-06-06 10:02:06,0,8,64,63,0,1,0
92,2024-06-06 10:02:07,0,9,35,38,0,1,0
91,2024-06-06 10:02:11,0,7,28,30,0,1,0
11,2024-06-06 10:02:12,0,15,51,41,0,0,0
10,2024-06-06 10:02:13,0,15,20,29,0,0,0
9,2024-06-06 10:02:14,0,11,21,23,0,0,0
90,2024-06-06 10:02:14,0,5,28,30,0,1,0
89,2024-06-06 10:02:15,0,6,21,23,0,1,0
88,2024-06-06 10:02:17,0,7,23,23,0,1,0
87,2024-06-06 10:02:20,0,6,25,26,0,1,0
86,2024-06-06 10:02:25,0,5,57,57,0,1,0
8,2024-06-06 10:02:28,0,56,83,129,0,0,0
7,2024-06-06 10:02:29,0,31,42,56,0,0,0
85,2024-06-06 10:02:55,0,3,39,36,0,1,0
84,2024-06-06 10:08:31,0,5,69,71,0,1,0
83,2024-06-06 10:08:45,4,0,110,119,0,1,1
82,2024-06-06 10:08:46,5,0,52,55,0,1,1
81,2024-06-06 10:09:06,3,0,28,28,0,1,1
80,2024-06-06 10:09:27,4,0,62,61,0,1,1
79,2024-06-06 10:09:38,0,21,81,89,0,1,0
78,2024-06-06 10:09:40,8,0,59,59,0,1,1
77,2024-06-06 10:09:42,8,0,114,110,0,1,1
76,2024-06-06 10:10:20,7,0,72,76,0,1,1
75,2024-06-06 10:10:45,0,1,14,174,0,1,0
74,2024-06-06 10:10:47,3,0,126,56,0,1,1
6,2024-06-06 10:11:10,16,0,72,65,0,0,1
73,2024-06-06 10:11:30,6,0,69,73,0,1,1
72,2024-06-06 10:12:27,11,0,57,68,0,1,1
71,2024-06-06 10:12:28,6,0,110,104,0,1,1
70,2024-06-06 10:12:30,7,0,60,64,0,1,1
69,2024-06-06 10:12:32,17,0,63,65,0,1,1
68,2024-06-06 10:12:33,12,0,98,102,0,1,1
67,2024-06-06 10:12:35,9,0,55,50,0,1,1
66,2024-06-06 10:12:37,14,0,44,44,0,1,1
65,2024-06-06 10:12:38,12,0,60,66,0,1,1
64,2024-06-06 10:12:40,0,12,117,64,0,1,0
63,2024-06-06 10:12:42,0,21,69,61,0,1,0
62,2024-06-06 10:12:43,0,21,60,67,0,1,0
61,2024-06-06 10:12:46,16,0,65,72,0,1,1
60,2024-06-06 10:12:53,1,0,29,33,0,1,1
59,2024-06-06 10:13:33,4,0,41,44,0,1,1
58,2024-06-06 10:13:50,7,0,28,27,0,1,1
57,2024-06-06 10:14:08,4,0,23,25,0,1,1
56,2024-06-06 10:42:36,0,8,21,26,0,1,0
55,2024-06-06 10:43:45,5,0,45,47,0,1,1
54,2024-06-06 10:57:53,0,33,37,51,0,1,0
53,2024-06-06 11:04:17,0,6,24,26,0,1,0
52,2024-06-06 11:06:05,0,5,24,24,0,1,0
51,2024-06-06 11:07:17,4,0,29,32,0,1,1
50,2024-06-06 11:08:58,5,0,19,19,0,1,1
