,time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
42,2024-06-06 11:45:23,0,7,35,40,0,1,0
41,2024-06-06 11:45:24,0,4,27,27,0,1,0
4,2024-06-06 11:46:38,29,0,179,165,0,0,1
40,2024-06-06 11:50:42,0,13,65,75,0,1,0
39,2024-06-06 11:50:44,0,7,86,89,0,1,0
38,2024-06-06 11:50:45,0,12,22,26,0,1,0
37,2024-06-06 11:51:20,9,0,52,46,0,1,1
36,2024-06-06 11:51:22,4,0,63,67,0,1,1
3,2024-06-06 11:51:38,0,11,55,57,0,0,0
2,2024-06-06 11:51:40,0,7,39,32,0,0,0
35,2024-06-06 11:52:03,0,4,36,39,0,1,0
34,2024-06-06 11:52:22,5,0,42,51,0,1,1
33,2024-06-06 12:30:21,0,10,84,96,0,1,0
32,2024-06-06 12:37:59,0,7,36,40,0,1,0
31,2024-06-06 12:56:34,0,11,37,45,0,1,0
30,2024-06-06 13:10:26,0,2,40,40,0,1,0
29,2024-06-06 13:12:27,5,0,102,111,0,1,1
28,2024-06-06 13:31:19,3,0,74,77,0,1,1
27,2024-06-06 13:31:20,4,0,41,45,0,1,1
26,2024-06-06 13:31:21,4,0,34,43,0,1,1
25,2024-06-06 13:31:23,7,0,74,87,0,1,1
24,2024-06-06 13:32:15,0,11,58,65,0,1,0
23,2024-06-06 13:33:06,0,10,23,29,0,1,0
22,2024-06-06 13:33:07,0,12,44,47,0,1,0
21,2024-06-06 13:33:08,0,10,33,32,0,1,0
20,2024-06-06 13:33:34,0,6,47,49,0,1,0
19,2024-06-06 13:33:35,0,8,39,44,0,1,0
18,2024-06-06 13:33:36,0,11,46,35,0,1,0
17,2024-06-06 13:33:56,4,0,73,82,0,1,1
16,2024-06-06 13:34:22,0,8,64,70,0,1,0
15,2024-06-06 13:35:43,5,0,72,81,0,1,1
14,2024-06-06 13:36:16,5,0,58,60,0,1,1
13,2024-06-06 13:36:17,3,0,88,99,0,1,1
12,2024-06-06 13:36:19,5,0,31,29,0,1,1
11,2024-06-06 13:36:46,0,3,40,40,0,1,0
10,2024-06-06 13:37:07,16,0,183,141,0,1,1
9,2024-06-06 13:37:19,2,0,45,46,0,1,1
8,2024-06-06 13:38:48,0,1,66,75,0,1,0
7,2024-06-06 13:39:07,4,0,25,25,0,1,1
6,2024-06-06 13:41:20,3,0,53,54,0,1,1
5,2024-06-06 13:42:38,5,0,44,46,0,1,1
1,2024-06-06 13:44:42,42,0,94,84,0,0,1
0,2024-06-06 13:44:45,0,51,0,25,0,0,6
