,time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
77,2024-05-29 10:01:21,0,8,105,98,1,0,0
76,2024-05-29 10:01:37,0,9,28,24,1,0,0
75,2024-05-29 10:01:40,0,10,26,25,1,0,0
74,2024-05-29 10:01:42,0,1,28,25,1,0,0
73,2024-05-29 10:01:49,0,12,90,45,1,0,0
72,2024-05-29 10:02:08,0,12,60,41,1,0,0
71,2024-05-29 10:02:25,0,10,42,35,1,0,0
70,2024-05-29 10:02:29,0,8,21,25,1,0,0
69,2024-05-29 10:02:38,0,7,33,31,1,0,0
68,2024-05-29 10:02:42,0,11,50,47,1,0,0
67,2024-05-29 10:02:43,0,5,49,35,1,0,0
66,2024-05-29 10:02:44,0,7,21,21,1,0,0
65,2024-05-29 10:02:46,0,10,33,23,1,0,0
64,2024-05-29 10:03:25,11,0,29,32,1,0,1
63,2024-05-29 10:03:32,7,0,26,22,1,0,1
62,2024-05-29 10:05:18,12,0,23,21,1,0,1
61,2024-05-29 10:05:33,0,6,18,15,1,0,0
60,2024-05-29 10:06:41,5,0,30,33,1,0,1
59,2024-05-29 10:07:23,13,0,38,29,1,0,1
58,2024-05-29 10:07:32,24,0,57,44,1,0,1
57,2024-05-29 10:07:33,6,0,23,26,1,0,1
56,2024-05-29 10:09:18,9,0,38,39,1,0,1
55,2024-05-29 10:09:28,19,0,34,20,1,0,1
54,2024-05-29 10:10:26,0,4,24,18,1,0,0
53,2024-05-29 10:11:04,14,0,25,17,1,0,1
52,2024-05-29 10:14:28,12,0,32,27,1,0,1
51,2024-05-29 10:14:31,4,0,27,25,1,0,1
50,2024-05-29 10:14:32,14,0,37,31,1,0,1
49,2024-05-29 10:14:33,13,0,29,36,1,0,1
48,2024-05-29 10:14:34,10,0,36,38,1,0,1
47,2024-05-29 10:14:37,28,0,67,49,1,0,1
46,2024-05-29 10:15:17,27,0,41,29,1,0,1
45,2024-05-29 10:15:23,2,0,16,21,1,0,1
44,2024-05-29 10:18:51,0,5,16,17,1,0,0
43,2024-05-29 10:19:31,6,0,17,16,1,0,1
42,2024-05-29 10:19:54,0,5,18,18,1,0,0
41,2024-05-29 10:24:56,8,0,22,22,1,0,1
40,2024-05-29 11:06:07,0,6,13,13,1,0,0
39,2024-05-29 11:11:50,10,0,20,15,1,0,1
38,2024-05-29 11:43:05,0,6,23,20,1,0,0
37,2024-05-29 11:43:06,0,9,24,27,1,0,0
36,2024-05-29 11:43:08,0,10,26,29,1,0,0
35,2024-05-29 11:43:10,0,5,22,22,1,0,0
34,2024-05-29 11:43:11,27,0,50,38,1,0,1
33,2024-05-29 11:43:13,0,9,80,75,1,0,0
32,2024-05-29 11:43:14,0,8,27,29,1,0,0
31,2024-05-29 11:43:15,0,19,47,52,1,0,0
30,2024-05-29 11:43:16,0,4,44,41,1,0,0
29,2024-05-29 11:43:17,0,9,31,26,1,0,0
28,2024-05-29 11:43:29,0,5,22,21,1,0,0
27,2024-05-29 11:43:36,0,21,30,43,1,0,0
26,2024-05-29 11:43:38,0,7,33,28,1,0,0
25,2024-05-29 11:43:40,0,10,22,26,1,0,0
24,2024-05-29 11:43:42,0,10,44,49,1,0,0
23,2024-05-29 11:43:53,0,6,25,20,1,0,0
22,2024-05-29 11:43:54,0,15,48,48,1,0,0
21,2024-05-29 11:43:56,0,13,35,38,1,0,0
20,2024-05-29 11:43:57,0,8,38,31,1,0,0
19,2024-05-29 11:44:01,13,0,26,26,1,0,1
18,2024-05-29 11:44:06,9,0,34,35,1,0,1
17,2024-05-29 11:44:14,8,0,25,24,1,0,1
16,2024-05-29 11:46:20,0,6,20,15,1,0,0
15,2024-05-29 11:46:34,30,0,44,24,1,0,1
14,2024-05-29 11:46:38,12,0,24,18,1,0,1
13,2024-05-29 11:47:03,0,6,24,22,1,0,0
12,2024-05-29 11:50:31,17,0,26,17,1,0,1
11,2024-05-29 11:51:27,9,0,25,37,1,0,1
10,2024-05-29 11:52:55,13,0,29,37,1,0,1
9,2024-05-29 11:53:49,11,0,40,42,1,0,1
8,2024-05-29 11:53:52,0,10,20,24,1,0,0
7,2024-05-29 11:53:58,12,0,35,39,1,0,1
6,2024-05-29 11:54:28,7,0,33,32,1,0,1
81,2024-05-29 11:55:03,0,69,114,164,1,1,0
80,2024-05-29 11:55:07,13,0,72,67,1,1,1
79,2024-05-29 11:55:11,59,0,141,29,1,1,1
78,2024-05-29 11:55:14,0,64,0,82,1,1,6
5,2024-05-29 11:56:58,7,0,22,22,1,0,1
4,2024-05-29 11:57:51,0,1,15,23,1,0,0
3,2024-05-29 11:58:05,21,0,48,32,1,0,1
2,2024-05-29 11:59:15,7,0,24,25,1,0,1
1,2024-05-29 11:59:26,4,0,16,18,1,0,1
0,2024-05-29 11:59:48,6,0,28,35,1,0,1
