,time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
0,2024-04-08 07:54:52,0,10,48,48,0,0,0
1,2024-04-08 09:20:07,4,0,90,96,1,0,1
2,2024-04-08 09:29:24,11,0,35,35,1,0,1
3,2024-04-08 09:30:31,19,0,45,35,1,0,1
4,2024-04-08 09:45:42,9,0,40,41,1,0,1
5,2024-04-08 09:46:23,22,0,58,45,1,0,1
6,2024-04-08 09:47:11,0,0,183,162,1,0,1
7,2024-04-08 09:51:28,22,0,82,78,1,0,1
8,2024-04-08 09:52:16,12,0,35,33,1,0,1
9,2024-04-08 10:04:11,16,0,58,52,1,0,1
10,2024-04-08 10:04:27,29,0,59,39,1,0,1
11,2024-04-08 10:04:29,11,0,41,50,1,0,1
12,2024-04-08 10:04:32,0,15,52,44,1,0,0
13,2024-04-08 10:04:38,8,0,106,102,1,0,1
14,2024-04-08 10:04:46,7,0,44,46,1,0,1
15,2024-04-08 10:04:47,5,0,30,30,1,0,1
16,2024-04-08 10:04:49,0,23,70,86,1,0,0
17,2024-04-08 10:05:57,15,0,45,41,1,0,1
18,2024-04-08 10:06:02,14,0,33,28,1,0,1
19,2024-04-08 10:06:04,14,0,35,37,1,0,1
20,2024-04-08 10:06:08,32,0,63,40,1,0,1
21,2024-04-08 10:06:13,13,0,138,194,1,0,1
22,2024-04-08 10:06:32,92,0,131,65,1,0,1
23,2024-04-08 10:08:02,19,0,37,41,1,0,1
24,2024-04-08 10:08:07,18,0,50,43,1,0,1
25,2024-04-08 10:08:10,12,0,70,66,1,0,1
26,2024-04-08 10:08:21,16,0,38,30,1,0,1
27,2024-04-08 10:08:22,23,0,52,58,1,0,1
28,2024-04-08 10:08:35,20,0,43,30,1,0,1
29,2024-04-08 10:09:34,8,0,43,40,1,0,1
30,2024-04-08 10:09:36,23,0,98,93,1,0,1
31,2024-04-08 10:10:09,0,8,40,48,1,0,0
32,2024-04-08 10:10:10,32,0,48,23,1,0,1
33,2024-04-08 10:10:12,8,0,33,54,1,0,1
34,2024-04-08 10:10:24,7,0,32,34,1,0,1
35,2024-04-08 10:10:44,10,0,35,35,1,0,1
36,2024-04-08 10:10:46,11,0,26,26,1,0,1
37,2024-04-08 10:10:47,13,0,93,88,1,0,1
38,2024-04-08 10:11:32,15,0,39,32,1,0,1
39,2024-04-08 10:11:33,14,0,39,36,1,0,1
40,2024-04-08 10:11:35,19,0,49,44,1,0,1
41,2024-04-08 10:12:39,16,0,110,118,1,0,1
42,2024-04-08 10:12:40,25,0,80,48,1,0,1
43,2024-04-08 10:12:51,24,0,104,121,1,0,1
44,2024-04-08 10:14:29,14,0,41,44,1,0,1
45,2024-04-08 10:14:32,76,0,141,81,1,0,1
46,2024-04-08 10:15:26,28,0,363,353,1,0,1
47,2024-04-08 10:16:07,16,0,79,13,1,0,1
48,2024-04-08 10:18:45,23,0,93,122,1,0,1
49,2024-04-08 10:22:22,18,0,39,25,1,0,1
50,2024-04-08 10:24:28,37,0,100,157,1,0,1
51,2024-04-08 10:59:59,0,19,43,36,1,0,0
52,2024-04-08 11:03:15,32,0,146,155,1,0,1
53,2024-04-08 11:27:46,0,13,39,39,1,0,0
54,2024-04-08 11:27:47,0,9,37,32,1,0,0
55,2024-04-08 11:27:48,0,6,33,28,1,0,0
56,2024-04-08 11:27:51,0,7,38,37,1,0,0
57,2024-04-08 11:27:52,0,21,30,36,1,0,0
58,2024-04-08 11:27:53,0,21,48,48,1,0,0
59,2024-04-08 11:27:55,0,3,58,17,1,0,0
60,2024-04-08 11:27:56,0,30,20,29,1,0,0
61,2024-04-08 11:28:01,0,10,21,22,1,0,0
62,2024-04-08 11:28:03,0,7,30,33,1,0,0
63,2024-04-08 11:28:04,0,12,47,50,1,0,0
64,2024-04-08 11:28:05,0,10,28,28,1,0,0
65,2024-04-08 11:28:07,0,9,31,30,1,0,0
66,2024-04-08 11:28:08,0,9,34,34,1,0,0
67,2024-04-08 11:28:14,0,8,40,33,1,0,0
68,2024-04-08 11:28:15,0,21,56,70,1,0,0
69,2024-04-08 11:28:17,0,6,60,56,1,0,0
70,2024-04-08 11:28:19,0,6,33,30,1,0,0
71,2024-04-08 11:28:20,0,4,22,83,1,0,0
