,time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
81,2024-05-29 08:17:38,19,0,51,40,0,1,1
33,2024-05-29 08:18:55,11,0,112,125,0,0,1
32,2024-05-29 08:19:38,16,0,32,22,0,0,1
31,2024-05-29 08:19:40,8,0,36,36,0,0,1
30,2024-05-29 08:21:14,11,0,47,41,0,0,1
29,2024-05-29 08:21:16,12,0,58,56,0,0,1
80,2024-05-29 08:21:40,10,0,14,0,0,1,5
79,2024-05-29 08:21:43,0,0,402,453,0,1,1
78,2024-05-29 08:23:57,9,0,60,65,0,1,1
77,2024-05-29 08:26:11,9,0,43,45,0,1,1
76,2024-05-29 08:28:04,11,0,78,75,0,1,1
28,2024-05-29 08:28:31,13,0,205,211,0,0,1
75,2024-05-29 08:29:30,11,0,80,0,0,1,5
74,2024-05-29 08:29:32,0,0,337,458,0,1,1
73,2024-05-29 08:29:49,16,0,39,30,0,1,1
27,2024-05-29 08:31:32,16,0,279,283,0,0,1
72,2024-05-29 08:35:06,8,0,45,45,0,1,1
71,2024-05-29 08:35:49,13,0,248,300,0,1,1
26,2024-05-29 08:36:08,12,0,220,218,0,0,1
25,2024-05-29 08:38:49,16,0,254,267,0,0,1
24,2024-05-29 10:01:27,0,10,34,28,0,0,0
23,2024-05-29 10:01:46,0,7,25,21,0,0,0
70,2024-05-29 10:01:51,0,14,81,64,0,1,0
69,2024-05-29 10:01:54,0,19,0,20,0,1,6
22,2024-05-29 10:01:58,0,11,34,30,0,0,0
68,2024-05-29 10:02:02,0,18,102,93,0,1,0
67,2024-05-29 10:02:10,0,10,40,45,0,1,0
21,2024-05-29 10:02:11,0,25,46,59,0,0,0
20,2024-05-29 10:02:13,0,7,22,22,0,0,0
19,2024-05-29 10:02:14,0,8,32,33,0,0,0
66,2024-05-29 10:02:17,0,12,54,57,0,1,0
18,2024-05-29 10:02:17,0,3,22,21,0,0,0
17,2024-05-29 10:02:18,0,4,38,37,0,0,0
16,2024-05-29 10:02:19,0,5,40,40,0,0,0
65,2024-05-29 10:02:19,0,11,48,48,0,1,0
64,2024-05-29 10:02:21,0,8,27,29,0,1,0
15,2024-05-29 10:02:22,0,6,25,23,0,0,0
63,2024-05-29 10:02:23,0,12,95,95,0,1,0
14,2024-05-29 10:02:24,0,5,19,19,0,0,0
13,2024-05-29 10:02:25,0,1,14,12,0,0,0
12,2024-05-29 10:02:47,0,11,88,50,0,0,0
11,2024-05-29 10:02:48,0,10,60,59,0,0,0
62,2024-05-29 10:02:52,0,11,125,128,0,1,0
61,2024-05-29 10:02:56,0,5,25,20,0,1,0
60,2024-05-29 10:03:19,9,0,41,40,0,1,1
59,2024-05-29 10:03:20,8,0,54,52,0,1,1
58,2024-05-29 10:03:22,8,0,36,37,0,1,1
57,2024-05-29 10:03:29,7,0,39,44,0,1,1
56,2024-05-29 10:03:30,7,0,49,52,0,1,1
55,2024-05-29 10:03:35,11,0,135,143,0,1,1
54,2024-05-29 10:03:37,11,0,60,61,0,1,1
53,2024-05-29 10:03:38,5,0,37,43,0,1,1
52,2024-05-29 10:04:21,6,0,22,30,0,1,1
51,2024-05-29 10:06:33,6,0,19,20,0,1,1
50,2024-05-29 10:06:41,14,0,32,25,0,1,1
49,2024-05-29 10:06:42,7,0,32,41,0,1,1
10,2024-05-29 10:07:04,0,9,29,29,0,0,0
9,2024-05-29 10:07:17,9,0,35,35,0,0,1
8,2024-05-29 10:07:18,13,0,37,29,0,0,1
48,2024-05-29 10:07:32,5,0,23,24,0,1,1
7,2024-05-29 10:07:38,0,7,27,25,0,0,0
47,2024-05-29 10:07:47,7,0,48,51,0,1,1
46,2024-05-29 10:07:52,12,0,61,92,0,1,1
45,2024-05-29 10:08:29,0,8,28,32,0,1,0
44,2024-05-29 10:09:09,0,7,72,72,0,1,0
43,2024-05-29 10:09:11,13,0,37,32,0,1,1
6,2024-05-29 10:09:26,4,0,14,14,0,0,1
42,2024-05-29 10:10:10,5,0,25,26,0,1,1
5,2024-05-29 10:10:23,8,0,31,34,0,0,1
4,2024-05-29 10:10:27,101,0,231,146,0,0,1
41,2024-05-29 10:10:54,10,0,35,32,0,1,1
3,2024-05-29 10:11:39,142,0,240,107,0,0,1
40,2024-05-29 10:12:39,6,0,57,56,0,1,1
2,2024-05-29 10:13:44,8,0,271,276,0,0,1
1,2024-05-29 10:14:27,7,0,69,19,0,0,1
39,2024-05-29 10:14:27,15,0,64,57,0,1,1
38,2024-05-29 10:14:29,2,0,41,45,0,1,1
37,2024-05-29 10:14:31,8,0,29,30,0,1,1
0,2024-05-29 10:14:32,0,234,0,242,0,0,6
36,2024-05-29 10:14:41,6,0,32,32,0,1,1
35,2024-05-29 10:14:42,6,0,34,33,0,1,1
34,2024-05-29 10:14:44,9,0,55,61,0,1,1
