time,people_in,people_out,people_inside
2024-05-14 13:30:00,0,0,0
2024-05-14 13:31:00,0,0,0
2024-05-14 13:32:00,0,0,0
2024-05-14 13:33:00,0,0,0
2024-05-14 13:34:00,0,0,0
2024-05-14 13:35:00,0,0,0
2024-05-14 13:36:00,0,0,0
2024-05-14 13:37:00,1,0,1
2024-05-14 13:38:00,2,0,2
2024-05-14 13:39:00,3,0,3
2024-05-14 13:40:00,5,0,5
2024-05-14 13:41:00,5,0,5
2024-05-14 13:42:00,5,0,5
2024-05-14 13:43:00,7,0,7
2024-05-14 13:44:00,7,0,7
2024-05-14 13:45:00,0,0,7
2024-05-14 13:46:00,0,0,7
2024-05-14 13:47:00,1,0,8
2024-05-14 13:48:00,1,0,8
2024-05-14 13:49:00,1,0,8
2024-05-14 13:50:00,1,0,8
2024-05-14 13:51:00,1,0,8
2024-05-14 13:52:00,3,1,9
2024-05-14 13:53:00,3,1,9
2024-05-14 13:54:00,3,1,9
2024-05-14 13:55:00,3,1,9
2024-05-14 13:56:00,3,1,9
2024-05-14 13:57:00,3,1,9
2024-05-14 13:58:00,3,1,9
2024-05-14 13:59:00,3,1,9
2024-05-14 14:00:00,3,1,9
2024-05-14 14:01:00,3,1,9
2024-05-14 14:02:00,3,1,9
2024-05-14 14:03:00,3,1,9
2024-05-14 14:04:00,3,1,9
2024-05-14 14:05:00,3,1,9
2024-05-14 14:06:00,3,1,9
2024-05-14 14:07:00,3,1,9
2024-05-14 14:08:00,3,1,9
2024-05-14 14:09:00,3,1,9
2024-05-14 14:10:00,3,1,9
2024-05-14 14:11:00,3,1,9
2024-05-14 14:12:00,3,1,9
2024-05-14 14:13:00,3,1,9
2024-05-14 14:14:00,3,1,9
2024-05-14 14:15:00,3,1,9
2024-05-14 14:16:00,3,1,9
2024-05-14 14:17:00,3,1,9
2024-05-14 14:18:00,3,1,9
2024-05-14 14:19:00,3,1,9
2024-05-14 14:20:00,3,1,9
2024-05-14 14:21:00,3,1,9
2024-05-14 14:22:00,3,1,9
2024-05-14 14:23:00,3,1,9
2024-05-14 14:24:00,3,1,9
2024-05-14 14:25:00,3,1,9
2024-05-14 14:26:00,3,1,9
2024-05-14 14:27:00,3,1,9
2024-05-14 14:28:00,3,1,9
2024-05-14 14:29:00,3,1,9
2024-05-14 14:30:00,3,1,9
2024-05-14 14:31:00,3,1,9
2024-05-14 14:32:00,3,1,9
2024-05-14 14:33:00,3,1,9
2024-05-14 14:34:00,3,1,9
2024-05-14 14:35:00,3,1,9
2024-05-14 14:36:00,3,1,9
2024-05-14 14:37:00,3,1,9
2024-05-14 14:38:00,3,1,9
2024-05-14 14:39:00,3,1,9
2024-05-14 14:40:00,3,1,9
2024-05-14 14:41:00,3,1,9
2024-05-14 14:42:00,3,1,9
2024-05-14 14:43:00,3,1,9
2024-05-14 14:44:00,3,1,9
2024-05-14 14:45:00,3,1,9
2024-05-14 14:46:00,3,1,9
2024-05-14 14:47:00,3,1,9
2024-05-14 14:48:00,3,1,9
2024-05-14 14:49:00,3,1,9
2024-05-14 14:50:00,3,1,9
2024-05-14 14:51:00,3,1,9
2024-05-14 14:52:00,3,1,9
2024-05-14 14:53:00,3,1,9
2024-05-14 14:54:00,3,1,9
2024-05-14 14:55:00,3,1,9
2024-05-14 14:56:00,3,6,4
2024-05-14 14:57:00,3,7,3
2024-05-14 14:58:00,3,7,3
2024-05-14 14:59:00,3,7,3
2024-05-14 15:00:00,4,8,3
2024-05-14 15:01:00,4,10,1
2024-05-14 15:02:00,5,10,2
2024-05-14 15:03:00,5,10,2
2024-05-14 15:04:00,5,10,2
2024-05-14 15:05:00,5,10,2
2024-05-14 15:06:00,5,10,2
2024-05-14 15:07:00,5,10,2
2024-05-14 15:08:00,5,10,2
2024-05-14 15:09:00,5,10,2
2024-05-14 15:10:00,5,10,2
2024-05-14 15:11:00,5,10,2
2024-05-14 15:12:00,5,10,2
2024-05-14 15:13:00,6,10,3
2024-05-14 15:14:00,7,10,4
2024-05-14 15:15:00,0,0,4
2024-05-14 15:16:00,0,0,4
2024-05-14 15:17:00,0,0,4
2024-05-14 15:18:00,0,0,4
2024-05-14 15:19:00,0,0,4
2024-05-14 15:20:00,1,0,4
2024-05-14 15:21:00,1,1,3
2024-05-14 15:22:00,1,2,2
2024-05-14 15:23:00,5,6,-2
2024-05-14 15:24:00,5,6,-2
2024-05-14 15:25:00,5,6,-2
2024-05-14 15:26:00,7,6,-2
2024-05-14 15:27:00,7,7,-3
2024-05-14 15:28:00,8,7,-3
2024-05-14 15:29:00,9,7,-3
