,time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
81,2024-05-14 08:17:56,13,0,35,26,1,0,1
80,2024-05-14 08:18:02,26,0,465,460,1,0,1
79,2024-05-14 08:18:43,5,0,24,34,1,0,1
78,2024-05-14 08:21:05,7,0,31,35,1,0,1
77,2024-05-14 08:21:08,3,0,30,30,1,0,1
76,2024-05-14 08:21:09,10,0,33,38,1,0,1
75,2024-05-14 08:21:13,0,8,139,157,1,0,0
74,2024-05-14 08:21:21,16,0,146,0,1,0,5
73,2024-05-14 08:21:25,0,0,539,723,1,0,1
72,2024-05-14 08:21:37,0,15,26,33,1,0,0
71,2024-05-14 08:22:03,9,0,58,69,1,0,1
70,2024-05-14 08:22:27,7,0,24,21,1,0,1
69,2024-05-14 08:23:18,7,0,24,24,1,0,1
68,2024-05-14 08:23:36,6,0,19,19,1,0,1
67,2024-05-14 08:23:59,17,0,29,19,1,0,1
66,2024-05-14 08:24:03,5,0,27,28,1,0,1
65,2024-05-14 08:24:22,12,0,43,40,1,0,1
64,2024-05-14 08:24:23,12,0,33,26,1,0,1
63,2024-05-14 08:25:03,12,0,34,26,1,0,1
62,2024-05-14 08:25:04,6,0,19,22,1,0,1
61,2024-05-14 08:26:45,4,0,25,24,1,0,1
60,2024-05-14 08:27:12,34,0,96,76,1,0,1
59,2024-05-14 08:27:15,13,0,134,144,1,0,1
58,2024-05-14 08:27:28,0,8,55,46,1,0,0
57,2024-05-14 08:27:31,3,0,20,22,1,0,1
56,2024-05-14 08:27:33,8,0,29,29,1,0,1
55,2024-05-14 08:30:29,25,0,41,18,1,0,1
54,2024-05-14 08:30:31,45,0,124,85,1,0,1
53,2024-05-14 08:30:34,0,47,135,208,1,0,0
52,2024-05-14 08:31:58,13,0,11,35,1,0,1
51,2024-05-14 08:32:00,4,0,37,0,1,0,5
50,2024-05-14 08:44:59,41,0,103,120,1,0,1
49,2024-05-14 09:30:28,0,27,86,63,1,0,0
48,2024-05-14 09:33:25,0,5,79,26,1,0,0
47,2024-05-14 09:33:27,0,11,72,187,1,0,0
46,2024-05-14 09:59:04,0,18,96,101,1,0,0
45,2024-05-14 09:59:10,0,16,53,48,1,0,0
44,2024-05-14 09:59:11,0,10,36,32,1,0,0
43,2024-05-14 09:59:12,0,5,45,41,1,0,0
42,2024-05-14 09:59:13,0,6,35,30,1,0,0
41,2024-05-14 09:59:15,0,8,30,29,1,0,0
40,2024-05-14 09:59:17,18,0,54,47,1,0,1
39,2024-05-14 09:59:18,30,0,66,38,1,0,1
38,2024-05-14 09:59:19,0,9,22,24,1,0,0
37,2024-05-14 09:59:20,0,6,29,31,1,0,0
36,2024-05-14 09:59:22,0,5,47,43,1,0,0
35,2024-05-14 09:59:31,0,8,51,48,1,0,0
34,2024-05-14 09:59:32,0,9,29,33,1,0,0
33,2024-05-14 09:59:33,0,10,19,21,1,0,0
32,2024-05-14 09:59:35,0,3,34,30,1,0,0
31,2024-05-14 09:59:36,0,4,28,24,1,0,0
30,2024-05-14 09:59:42,0,17,45,40,1,0,0
29,2024-05-14 09:59:44,0,8,31,26,1,0,0
28,2024-05-14 09:59:49,0,10,40,43,1,0,0
27,2024-05-14 09:59:52,0,6,23,19,1,0,0
26,2024-05-14 09:59:57,0,7,48,44,1,0,0
25,2024-05-14 09:59:58,0,5,26,23,1,0,0
86,2024-05-14 10:00:58,0,13,147,132,1,1,0
85,2024-05-14 10:01:32,8,0,17,12,1,1,1
84,2024-05-14 10:01:34,5,0,18,20,1,1,1
83,2024-05-14 10:01:35,5,0,18,22,1,1,1
82,2024-05-14 10:01:48,31,0,119,110,1,1,1
24,2024-05-14 10:02:05,0,15,152,38,1,0,0
23,2024-05-14 10:02:07,0,55,47,162,1,0,0
22,2024-05-14 10:02:10,9,0,40,41,1,0,1
21,2024-05-14 10:02:50,10,0,45,46,1,0,1
20,2024-05-14 10:02:53,0,10,43,43,1,0,0
19,2024-05-14 10:03:04,30,0,40,32,1,0,1
18,2024-05-14 10:03:07,19,0,40,55,1,0,1
17,2024-05-14 10:03:10,13,0,29,27,1,0,1
15,2024-05-14 10:03:12,5,0,21,23,1,0,1
16,2024-05-14 10:03:12,22,0,32,27,1,0,1
14,2024-05-14 10:03:55,0,8,23,17,1,0,0
13,2024-05-14 10:04:32,0,6,22,21,1,0,0
12,2024-05-14 10:06:04,0,8,18,20,1,0,0
11,2024-05-14 10:06:32,10,0,23,23,1,0,1
10,2024-05-14 10:06:45,17,0,30,25,1,0,1
9,2024-05-14 10:08:22,17,0,34,22,1,0,1
8,2024-05-14 10:08:51,0,8,23,22,1,0,0
7,2024-05-14 10:10:04,16,0,37,26,1,0,1
6,2024-05-14 10:10:25,0,5,15,17,1,0,0
5,2024-05-14 10:10:58,19,0,50,108,1,0,1
4,2024-05-14 10:11:07,0,365,0,357,1,0,6
3,2024-05-14 10:11:52,8,0,18,17,1,0,1
2,2024-05-14 10:12:05,8,0,31,32,1,0,1
1,2024-05-14 10:13:24,10,0,31,25,1,0,1
0,2024-05-14 10:13:25,15,0,30,20,1,0,1
