,0
AvgOccupancy,int64
CourseNumber,int64
Exam,int64
Tutorium|Test|Cancelled,int64
CourseType,int64
Registered,int64
Lecture,int64
StudyArea,int64
DayOfWeek,int64
HourOfDay,int64
Weather,int64
